original_filename,page,file_url,platform_link,col1,col2,col3,col4,col5,col6,col7
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,"Confinements :
Person CT ID",Confinement Reason,Entry,Exit,Duration,"Ethnic
Origin",
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,20 ( 1 ),Alleged or Breached Rule,31 - DEC - 20,01 - JAN - 21,1,CAU,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,31 - DEC - 20,05 - JAN - 21,5,IND,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,02 - JAN - 21,05 - JAN - 21,3,CAU,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,04 - JAN - 21,05 - JAN - 21,1,CAU,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,05 - JAN - 21,12 - JAN - 21,7,CAU,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,06 - JAN - 21,07 - JAN - 21,1,CAU,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,07 - JAN - 21,13 - JAN - 21,6,CAU,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,09 - JAN - 21,13 - JAN - 21,4,IND,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,12 - JAN - 21,13 - JAN - 21,1,CAU,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,13 - JAN - 21,14 - JAN - 21,1,IND,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,14 - JAN - 21,16 - JAN - 21,2,CAU,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,16 - JAN - 21,18 - JAN - 21,2,IND,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,20 - JAN - 21,21 - JAN - 21,1,CAU,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,22 - JAN - 21,23 - JAN - 21,1,CAU,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,26 - JAN - 21,29 - JAN - 21,3,CAU,
cape_breton_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-1.jpeg?expires=1702403557&or=0&s=c4aa31722d63df26b1e5875656f849ff,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df517-7e77-11ee-ad8e-aafb767fc6dd,,Alleged or Breached Rule,03 - FEB - 21,04 - FEB - 21,1,CAU,
cape_breton_correctional_facility.pdf,1,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-2.jpeg?expires=1702403557&or=0&s=0ef35f05620e8acdb074a1ea4a72703e,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df53a-7e77-11ee-ad8f-aafb767fc6dd,"Confinements :
Person CT ID",Confinement Reason,Entry,Exit,Duration,"Ethnic
Origin",
cape_breton_correctional_facility.pdf,1,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-2.jpeg?expires=1702403557&or=0&s=0ef35f05620e8acdb074a1ea4a72703e,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df53a-7e77-11ee-ad8f-aafb767fc6dd,20 ( 1 ),Alleged or Breached Rule,05 - FEB - 21,08 - FEB - 21,3,CAU,
cape_breton_correctional_facility.pdf,1,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-2.jpeg?expires=1702403557&or=0&s=0ef35f05620e8acdb074a1ea4a72703e,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df53a-7e77-11ee-ad8f-aafb767fc6dd,,Alleged or Breached Rule,24 - FEB - 21,26 - FEB - 21,2,CAU,
cape_breton_correctional_facility.pdf,1,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-2.jpeg?expires=1702403557&or=0&s=0ef35f05620e8acdb074a1ea4a72703e,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df53a-7e77-11ee-ad8f-aafb767fc6dd,,Alleged or Breached Rule,24 - FEB - 21,25 - FEB - 21,1,CAU,
cape_breton_correctional_facility.pdf,1,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-2.jpeg?expires=1702403557&or=0&s=0ef35f05620e8acdb074a1ea4a72703e,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df53a-7e77-11ee-ad8f-aafb767fc6dd,,Alleged or Breached Rule,25 - FEB - 21,03 - MAR - 21,6,CAU,
cape_breton_correctional_facility.pdf,1,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/c39b2019-51b0-44eb-8f17-2542233b2a43-2.jpeg?expires=1702403557&or=0&s=0ef35f05620e8acdb074a1ea4a72703e,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a32df53a-7e77-11ee-ad8f-aafb767fc6dd,,Alleged or Breached Rule,25 - FEB - 21,26 - FEB - 21,1,OTH,
