original_filename,page,file_url,platform_link,col1,col2,col3,col4,col5,col6
central_ns_correctional_facility_chunk001.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/0e6ccdcd-1cfe-45f5-95eb-40ef08925c0c-1.jpeg?expires=1702404553&or=0&s=60e769335c3b8bb456afa3c9dfd1087d,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/57c838e6-98f7-11ee-ad91-323fde01981e,"Confinements :
Person CT ID",Confinement Reason,Entry,Exit,Duration,"Ethnic
Origin"
central_ns_correctional_facility_chunk001.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/0e6ccdcd-1cfe-45f5-95eb-40ef08925c0c-1.jpeg?expires=1702404553&or=0&s=60e769335c3b8bb456afa3c9dfd1087d,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/57c838e6-98f7-11ee-ad91-323fde01981e,20 ( 1 ),Alleged or Breached Rule,31 - DEC - 20,19 - FEB - 21,50,CAU
central_ns_correctional_facility_chunk001.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/0e6ccdcd-1cfe-45f5-95eb-40ef08925c0c-1.jpeg?expires=1702404553&or=0&s=60e769335c3b8bb456afa3c9dfd1087d,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/57c838e6-98f7-11ee-ad91-323fde01981e,,Alleged or Breached Rule,31 - DEC - 20,05 - JAN - 21,5,CAU
central_ns_correctional_facility_chunk001.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/0e6ccdcd-1cfe-45f5-95eb-40ef08925c0c-1.jpeg?expires=1702404553&or=0&s=60e769335c3b8bb456afa3c9dfd1087d,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/57c838e6-98f7-11ee-ad91-323fde01981e,,Alleged or Breached Rule,01 - JAN - 21,05 - JAN - 21,4,OTH
central_ns_correctional_facility_chunk001.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/0e6ccdcd-1cfe-45f5-95eb-40ef08925c0c-1.jpeg?expires=1702404553&or=0&s=60e769335c3b8bb456afa3c9dfd1087d,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/57c838e6-98f7-11ee-ad91-323fde01981e,,Alleged or Breached Rule,01 - JAN - 21,05 - JAN - 21,4,IND
central_ns_correctional_facility_chunk001.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/0e6ccdcd-1cfe-45f5-95eb-40ef08925c0c-1.jpeg?expires=1702404553&or=0&s=60e769335c3b8bb456afa3c9dfd1087d,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/57c838e6-98f7-11ee-ad91-323fde01981e,,Alleged or Breached Rule,02 - JAN - 21,05 - JAN - 21,3,CAU
central_ns_correctional_facility_chunk001.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/0e6ccdcd-1cfe-45f5-95eb-40ef08925c0c-1.jpeg?expires=1702404553&or=0&s=60e769335c3b8bb456afa3c9dfd1087d,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/57c838e6-98f7-11ee-ad91-323fde01981e,,Alleged or Breached Rule,03 - JAN - 21,04 - JAN - 21,1,CAU
central_ns_correctional_facility_chunk001.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/0e6ccdcd-1cfe-45f5-95eb-40ef08925c0c-1.jpeg?expires=1702404553&or=0&s=60e769335c3b8bb456afa3c9dfd1087d,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/57c838e6-98f7-11ee-ad91-323fde01981e,,Alleged or Breached Rule,04 - JAN - 21,08 - JAN - 21,4,CAU
central_ns_correctional_facility_chunk001.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/0e6ccdcd-1cfe-45f5-95eb-40ef08925c0c-1.jpeg?expires=1702404553&or=0&s=60e769335c3b8bb456afa3c9dfd1087d,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/57c838e6-98f7-11ee-ad91-323fde01981e,,Alleged or Breached Rule,04 - JAN - 21,07 - JAN - 21,3,IND
central_ns_correctional_facility_chunk001.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/0e6ccdcd-1cfe-45f5-95eb-40ef08925c0c-1.jpeg?expires=1702404553&or=0&s=60e769335c3b8bb456afa3c9dfd1087d,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/57c838e6-98f7-11ee-ad91-323fde01981e,,Alleged or Breached Rule,05 - JAN - 21,07 - JAN - 21,2,IND
