original_filename,page,file_url,platform_link,col1,col2,col3,col4,col5,col6
northeast_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/f2129ce4-b429-4f3d-90d7-653f43e16642-1.jpeg?expires=1702404553&or=0&s=6af6a3207d8564da6942cfdf2ebbdaa2,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/a90f4962-98f6-11ee-8a6d-a67fbc18e291,"Confinements :
Person CT ID",Confinement Reason,Entry,Exit,Duration,"Ethnic
Origin"
northeast_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/f2129ce4-b429-4f3d-90d7-653f43e16642-1.jpeg?expires=1702404553&or=0&s=6af6a3207d8564da6942cfdf2ebbdaa2,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/a90f4962-98f6-11ee-8a6d-a67fbc18e291,20 ( 1 ),Alleged or Breached Rule,31 - DEC - 20,04 - JAN - 21,4,CAU
northeast_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/f2129ce4-b429-4f3d-90d7-653f43e16642-1.jpeg?expires=1702404553&or=0&s=6af6a3207d8564da6942cfdf2ebbdaa2,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/a90f4962-98f6-11ee-8a6d-a67fbc18e291,,Alleged or Breached Rule,03 - JAN - 21,07 - JAN - 21,4,CAU
northeast_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/f2129ce4-b429-4f3d-90d7-653f43e16642-1.jpeg?expires=1702404553&or=0&s=6af6a3207d8564da6942cfdf2ebbdaa2,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/a90f4962-98f6-11ee-8a6d-a67fbc18e291,,Alleged or Breached Rule,05 - JAN - 21,07 - JAN - 21,2,CAU
northeast_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/f2129ce4-b429-4f3d-90d7-653f43e16642-1.jpeg?expires=1702404553&or=0&s=6af6a3207d8564da6942cfdf2ebbdaa2,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/a90f4962-98f6-11ee-8a6d-a67fbc18e291,,Alleged or Breached Rule,05 - JAN - 21,07 - JAN - 21,2,CAU
northeast_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/f2129ce4-b429-4f3d-90d7-653f43e16642-1.jpeg?expires=1702404553&or=0&s=6af6a3207d8564da6942cfdf2ebbdaa2,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/a90f4962-98f6-11ee-8a6d-a67fbc18e291,,Alleged or Breached Rule,07 - JAN - 21,10 - JAN - 21,3,CAU
northeast_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/f2129ce4-b429-4f3d-90d7-653f43e16642-1.jpeg?expires=1702404553&or=0&s=6af6a3207d8564da6942cfdf2ebbdaa2,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/a90f4962-98f6-11ee-8a6d-a67fbc18e291,,Alleged or Breached Rule,08 - JAN - 21,13 - JAN - 21,5,OTH
northeast_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/f2129ce4-b429-4f3d-90d7-653f43e16642-1.jpeg?expires=1702404553&or=0&s=6af6a3207d8564da6942cfdf2ebbdaa2,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/a90f4962-98f6-11ee-8a6d-a67fbc18e291,,Alleged or Breached Rule,14 - JAN - 21,14 - JAN - 21,0,CAU
northeast_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/f2129ce4-b429-4f3d-90d7-653f43e16642-1.jpeg?expires=1702404553&or=0&s=6af6a3207d8564da6942cfdf2ebbdaa2,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/a90f4962-98f6-11ee-8a6d-a67fbc18e291,,Alleged or Breached Rule,14 - JAN - 21,15 - JAN - 21,1,CAU
northeast_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/7595edae-776d-4b79-a5f3-a04808509313/PredictionImages/f2129ce4-b429-4f3d-90d7-653f43e16642-1.jpeg?expires=1702404553&or=0&s=6af6a3207d8564da6942cfdf2ebbdaa2,https://app.nanonets.com/#/ocr/test/7595edae-776d-4b79-a5f3-a04808509313/a90f4962-98f6-11ee-8a6d-a67fbc18e291,,Alleged or Breached Rule,23 - JAN - 21,25 - JAN - 21,2,CAU
