Page	Confinement Reason	Entry	Exit	Duration	Ethnic Origin	Correctional Facility
0	Alleged or Breached Rule	31 - DEC - 20	01 - JAN - 21	1	CAU	cape_breton_correctional_facility
0	Alleged or Breached Rule	31 - DEC - 20	05 - JAN - 21	5	IND	cape_breton_correctional_facility
0	Alleged or Breached Rule	02 - JAN - 21	05 - JAN - 21	3	CAU	cape_breton_correctional_facility
0	Alleged or Breached Rule	04 - JAN - 21	05 - JAN - 21	1	CAU	cape_breton_correctional_facility
0	Alleged or Breached Rule	05 - JAN - 21	12 - JAN - 21	7	CAU	cape_breton_correctional_facility
0	Alleged or Breached Rule	06 - JAN - 21	07 - JAN - 21	1	CAU	cape_breton_correctional_facility
0	Alleged or Breached Rule	07 - JAN - 21	13 - JAN - 21	6	CAU	cape_breton_correctional_facility
0	Alleged or Breached Rule	09 - JAN - 21	13 - JAN - 21	4	IND	cape_breton_correctional_facility
0	Alleged or Breached Rule	12 - JAN - 21	13 - JAN - 21	1	CAU	cape_breton_correctional_facility
0	Alleged or Breached Rule	13 - JAN - 21	14 - JAN - 21	1	IND	cape_breton_correctional_facility
0	Alleged or Breached Rule	14 - JAN - 21	16 - JAN - 21	2	CAU	cape_breton_correctional_facility
0	Alleged or Breached Rule	16 - JAN - 21	18 - JAN - 21	2	IND	cape_breton_correctional_facility
0	Alleged or Breached Rule	20 - JAN - 21	21 - JAN - 21	1	CAU	cape_breton_correctional_facility
0	Alleged or Breached Rule	22 - JAN - 21	23 - JAN - 21	1	CAU	cape_breton_correctional_facility
0	Alleged or Breached Rule	26 - JAN - 21	29 - JAN - 21	3	CAU	cape_breton_correctional_facility
0	Alleged or Breached Rule	03 - FEB - 21	04 - FEB - 21	1	CAU	cape_breton_correctional_facility
1	Alleged or Breached Rule	05 - FEB - 21	08 - FEB - 21	3	CAU	cape_breton_correctional_facility
1	Alleged or Breached Rule	24 - FEB - 21	26 - FEB - 21	2	CAU	cape_breton_correctional_facility
1	Alleged or Breached Rule	24 - FEB - 21	25 - FEB - 21	1	CAU	cape_breton_correctional_facility
1	Alleged or Breached Rule	25 - FEB - 21	03 - MAR - 21	6	CAU	cape_breton_correctional_facility
1	Alleged or Breached Rule	25 - FEB - 21	26 - FEB - 21	1	OTH	cape_breton_correctional_facility
1	Alleged or Breached Rule	01 - MAR - 21	05 - MAR - 21	4	OTH	cape_breton_correctional_facility
1	Alleged or Breached Rule	03 - MAR - 21	04 - MAR - 21	1	CAU	cape_breton_correctional_facility
1	Alleged or Breached Rule	04 - MAR - 21	05 - MAR - 21	1	IND	cape_breton_correctional_facility
1	Alleged or Breached Rule	05 - MAR - 21	07 - MAR - 21	2	CAU	cape_breton_correctional_facility
1	Alleged or Breached Rule	08 - MAR - 21	09 - MAR - 21	1	CAU	cape_breton_correctional_facility
1	Alleged or Breached Rule	10 - MAR - 21	13 - MAR - 21	3	IND	cape_breton_correctional_facility
1	Alleged or Breached Rule	10 - MAR - 21	10 - MAR - 21	0	IND	cape_breton_correctional_facility
1	Alleged or Breached Rule	10 - MAR - 21	12 - MAR - 21	2	CAU	cape_breton_correctional_facility
1	Alleged or Breached Rule	12 - MAR - 21	13 - MAR - 21	1	CAU	cape_breton_correctional_facility
1	Alleged or Breached Rule	15 - MAR - 21	16 - MAR - 21	1	CAU	cape_breton_correctional_facility
1	Alleged or Breached Rule	21 - MAR - 21	22 - MAR - 21	1	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	22 - MAR - 21	26 - MAR - 21	4	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	26 - MAR - 21	28 - MAR - 21	2	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	02 - APR - 21	04 - APR - 21	2	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	07 - APR - 21	10 - APR - 21	3	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	07 - APR - 21	08 - APR - 21	1	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	07 - APR - 21	08 - APR - 21	1	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	07 - APR - 21	10 - APR - 21	3	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	09 - APR - 21	10 - APR - 21	1	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	10 - APR - 21	11 - APR - 21	1	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	13 - APR - 21	16 - APR - 21	3	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	20 - APR - 21	23 - APR - 21	3	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	23 - APR - 21	25 - APR - 21	2	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	16 - MAY - 21	17 - MAY - 21	1	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	19 - MAY - 21	24 - MAY - 21	5	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	20 - MAY - 21	21 - MAY - 21	1	CAU	cape_breton_correctional_facility
2	Alleged or Breached Rule	20 - MAY - 21	23 - MAY - 21	3	CAU	cape_breton_correctional_facility
3	Alleged or Breached Rule	05 - JUN - 21	10 - JUN - 21	5	IND	cape_breton_correctional_facility
3	Alleged or Breached Rule	15 - JUN - 21	16 - JUN - 21	1	CAU	cape_breton_correctional_facility
3	Alleged or Breached Rule	16 - JUN - 21	18 - JUN - 21	2	CAU	cape_breton_correctional_facility
