Page	Confinement Reason	Entry	Exit	Duration	Ethnic Origin	Correctional Facility
0	Alleged or Breached Rule	31 - DEC - 20	19 - FEB - 21	50	CAU	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	31 - DEC - 20	05 - JAN - 21	5	CAU	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	01 - JAN - 21	05 - JAN - 21	4	OTH	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	01 - JAN - 21	05 - JAN - 21	4	IND	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	02 - JAN - 21	05 - JAN - 21	3	CAU	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	03 - JAN - 21	04 - JAN - 21	1	CAU	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	04 - JAN - 21	08 - JAN - 21	4	CAU	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	04 - JAN - 21	07 - JAN - 21	3	IND	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	05 - JAN - 21	07 - JAN - 21	2	IND	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	05 - JAN - 21	07 - JAN - 21	2	UNK	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	05 - JAN - 21	07 - JAN - 21	2	CAU	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	06 - JAN - 21	09 - JAN - 21	3	BLA	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	07 - JAN - 21	10 - JAN - 21	3	BLA	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	07 - JAN - 21	08 - JAN - 21	1	CAU	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	07 - JAN - 21	12 - JAN - 21	5	CAU	central_ns_correctional_facility_chunk001
0	Alleged or Breached Rule	07 - JAN - 21	11 - JAN - 21	4	CAU	central_ns_correctional_facility_chunk001
1	Alleged or Breached Rule	07 - JAN - 21	09 - JAN - 21	2	CAU	central_ns_correctional_facility_chunk001
1	Alleged or Breached Rule	08 - JAN - 21	09 - JAN - 21	1	CAU	central_ns_correctional_facility_chunk001
1	Alleged or Breached Rule	08 - JAN - 21	11 - JAN - 21	3	BLA	central_ns_correctional_facility_chunk001
1	Alleged or Breached Rule	08 - JAN - 21	11 - JAN - 21	3	CAU	central_ns_correctional_facility_chunk001
1	Alleged or Breached Rule	10 - JAN - 21	14 - JAN - 21	4	CAU	central_ns_correctional_facility_chunk001
1	Alleged or Breached Rule	11 - JAN - 21	12 - JAN - 21	1	CAU	central_ns_correctional_facility_chunk001
1	Alleged or Breached Rule	11 - JAN - 21	14 - JAN - 21	3	OTH	central_ns_correctional_facility_chunk001
1	Alleged or Breached Rule	11 - JAN - 21	14 - JAN - 21	3	CAU	central_ns_correctional_facility_chunk001
1	Alleged or Breached Rule	11 - JAN - 21	12 - JAN - 21	1	UNK	central_ns_correctional_facility_chunk001
1	Alleged or Breached Rule	11 - JAN - 21	22 - JAN - 21	11	BLA	central_ns_correctional_facility_chunk001
1	Alleged or Breached Rule	12 - JAN - 21	26 - JAN - 21	14	CAU	central_ns_correctional_facility_chunk001
1	Alleged or Breached Rule	12 - JAN - 21	02 - MAR - 21	49	IND	central_ns_correctional_facility_chunk001
