Page	Confinement Reason	Entry	Exit	Duration	Ethnic Origin	Correctional Facility
0	Alleged or Breached Rule	31 - DEC - 20	04 - JAN - 21	4	CAU	northeast_ns_correctional_facility
0	Alleged or Breached Rule	03 - JAN - 21	07 - JAN - 21	4	CAU	northeast_ns_correctional_facility
0	Alleged or Breached Rule	05 - JAN - 21	07 - JAN - 21	2	CAU	northeast_ns_correctional_facility
0	Alleged or Breached Rule	05 - JAN - 21	07 - JAN - 21	2	CAU	northeast_ns_correctional_facility
0	Alleged or Breached Rule	07 - JAN - 21	10 - JAN - 21	3	CAU	northeast_ns_correctional_facility
0	Alleged or Breached Rule	08 - JAN - 21	13 - JAN - 21	5	OTH	northeast_ns_correctional_facility
0	Alleged or Breached Rule	14 - JAN - 21	14 - JAN - 21	0	CAU	northeast_ns_correctional_facility
0	Alleged or Breached Rule	14 - JAN - 21	15 - JAN - 21	1	CAU	northeast_ns_correctional_facility
0	Alleged or Breached Rule	23 - JAN - 21	25 - JAN - 21	2	CAU	northeast_ns_correctional_facility
0	Alleged or Breached Rule	26 - JAN - 21	30 - JAN - 21	4	OTH	northeast_ns_correctional_facility
0	Alleged or Breached Rule	26 - JAN - 21	27 - JAN - 21	1	BLA	northeast_ns_correctional_facility
0	Alleged or Breached Rule	30 - JAN - 21	02 - FEB - 21	3	CAU	northeast_ns_correctional_facility
0	Alleged or Breached Rule	01 - FEB - 21	02 - FEB - 21	1	CAU	northeast_ns_correctional_facility
0	Alleged or Breached Rule	06 - FEB - 21	10 - FEB - 21	4	OTH	northeast_ns_correctional_facility
0	Alleged or Breached Rule	07 - FEB - 21	09 - FEB - 21	2	CAU	northeast_ns_correctional_facility
0	Alleged or Breached Rule	10 - FEB - 21	13 - FEB - 21	3	CAU	northeast_ns_correctional_facility
1	Alleged or Breached Rule	10 - FEB - 21	11 - FEB - 21	1	CAU	northeast_ns_correctional_facility
1	Alleged or Breached Rule	12 - FEB - 21	16 - FEB - 21	4	CAU	northeast_ns_correctional_facility
1	Alleged or Breached Rule	18 - FEB - 21	22 - FEB - 21	4	CAU	northeast_ns_correctional_facility
1	Alleged or Breached Rule	21 - FEB - 21	23 - FEB - 21	2	CAU	northeast_ns_correctional_facility
1	Alleged or Breached Rule	21 - FEB - 21	26 - FEB - 21	5	CAU	northeast_ns_correctional_facility
1	Alleged or Breached Rule	04 - MAR - 21	08 - MAR - 21	4	CAU	northeast_ns_correctional_facility
1	Alleged or Breached Rule	06 - MAR - 21	09 - MAR - 21	3	CAU	northeast_ns_correctional_facility
1	Alleged or Breached Rule	10 - MAR - 21	13 - MAR - 21	3	CAU	northeast_ns_correctional_facility
1	Alleged or Breached Rule	11 - MAR - 21	14 - MAR - 21	3	IND	northeast_ns_correctional_facility
1	Alleged or Breached Rule	12 - MAR - 21	14 - MAR - 21	2	CAU	northeast_ns_correctional_facility
1	Alleged or Breached Rule	14 - MAR - 21	15 - MAR - 21	1	CAU	northeast_ns_correctional_facility
1	Alleged or Breached Rule	16 - MAR - 21	18 - MAR - 21	2	IND	northeast_ns_correctional_facility
1	Alleged or Breached Rule	17 - MAR - 21	20 - MAR - 21	3	CAU	northeast_ns_correctional_facility
1	Alleged or Breached Rule	18 - MAR - 21	23 - MAR - 21	5	CAU	northeast_ns_correctional_facility
1	Alleged or Breached Rule	18 - MAR - 21	19 - MAR - 21	1	IND	northeast_ns_correctional_facility
1	Alleged or Breached Rule	22 - MAR - 21	25 - MAR - 21	3	IND	northeast_ns_correctional_facility
2	Alleged or Breached Rule	23 - MAR - 21	28 - MAR - 21	5	CAU	northeast_ns_correctional_facility
2	Alleged or Breached Rule	25 - MAR - 21	30 - MAR - 21	5	CAU	northeast_ns_correctional_facility
2	Alleged or Breached Rule	25 - MAR - 21	26 - MAR - 21	1	UNK	northeast_ns_correctional_facility
2	Alleged or Breached Rule	30 - MAR - 21	31 - MAR - 21	1	CAU	northeast_ns_correctional_facility
2	Alleged or Breached Rule	07 - APR - 21	07 - APR - 21	0	CAU	northeast_ns_correctional_facility
2	Alleged or Breached Rule	07 - APR - 21	12 - APR - 21	5	CAU	northeast_ns_correctional_facility
2	Alleged or Breached Rule	07 - APR - 21	07 - APR - 21	0	CAU	northeast_ns_correctional_facility
2	Alleged or Breached Rule	07 - APR - 21	08 - APR - 21	1	CAU	northeast_ns_correctional_facility
2	Alleged or Breached Rule	08 - APR - 21	11 - APR - 21	3	CAU	northeast_ns_correctional_facility
2	Alleged or Breached Rule	08 - APR - 21	12 - APR - 21	4	CAU	northeast_ns_correctional_facility
2	Alleged or Breached Rule	09 - APR - 21	10 - APR - 21	1	CAU	northeast_ns_correctional_facility
2	Alleged or Breached Rule	10 - APR - 21	14 - APR - 21	4	CAU	northeast_ns_correctional_facility
2	Alleged or Breached Rule	11 - APR - 21	18 - APR - 21	7	CAU	northeast_ns_correctional_facility
2	Alleged or Breached Rule	13 - APR - 21	16 - APR - 21	3	CAU	northeast_ns_correctional_facility
2	Alleged or Breached Rule	13 - APR - 21	16 - APR - 21	3	UNK	northeast_ns_correctional_facility
2	Alleged or Breached Rule	13 - APR - 21	13 - APR - 21	0	CAU	northeast_ns_correctional_facility
3	Alleged or Breached Rule	14 - APR - 21	17 - APR - 21	3	BLA	northeast_ns_correctional_facility
3	Alleged or Breached Rule	14 - APR - 21	19 - APR - 21	5	CAU	northeast_ns_correctional_facility
3	Alleged or Breached Rule	15 - APR - 21	20 - APR - 21	5	CAU	northeast_ns_correctional_facility
3	Alleged or Breached Rule	15 - APR - 21	16 - APR - 21	1	ANS	northeast_ns_correctional_facility
3	Alleged or Breached Rule	20 - APR - 21	21 - APR - 21	1	CAU	northeast_ns_correctional_facility
3	Alleged or Breached Rule	21 - APR - 21	23 - APR - 21	2	BLA	northeast_ns_correctional_facility
3	Alleged or Breached Rule	24 - APR - 21	27 - APR - 21	3	CAU	northeast_ns_correctional_facility
3	Alleged or Breached Rule	26 - APR - 21	28 - APR - 21	2	BLA	northeast_ns_correctional_facility
3	Alleged or Breached Rule	26 - APR - 21	28 - APR - 21	2	IND	northeast_ns_correctional_facility
3	Alleged or Breached Rule	26 - APR - 21	28 - APR - 21	2	CAU	northeast_ns_correctional_facility
3	Alleged or Breached Rule	26 - APR - 21	28 - APR - 21	2	CAU	northeast_ns_correctional_facility
3	Alleged or Breached Rule	28 - APR - 21	01 - MAY - 21	3	CAU	northeast_ns_correctional_facility
3	Alleged or Breached Rule	28 - APR - 21	01 - MAY - 21	3	BLA	northeast_ns_correctional_facility
3	Alleged or Breached Rule	28 - APR - 21	30 - APR - 21	2	ANS	northeast_ns_correctional_facility
3	Alleged or Breached Rule	06 - MAY - 21	10 - MAY - 21	4	CAU	northeast_ns_correctional_facility
3	Alleged or Breached Rule	07 - MAY - 21	11 - MAY - 21	4	BLA	northeast_ns_correctional_facility
4	Alleged or Breached Rule	07 - MAY - 21	07 - MAY - 21	0	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	14 - MAY - 21	15 - MAY - 21	1	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	14 - MAY - 21	15 - MAY - 21	1	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	16 - MAY - 21	18 - MAY - 21	2	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	18 - MAY - 21	18 - MAY - 21	0	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	19 - MAY - 21	22 - MAY - 21	3	IND	northeast_ns_correctional_facility
4	Alleged or Breached Rule	20 - MAY - 21	21 - MAY - 21	1	CAU	northeast_ns_correctional_facility
