Page	Confinement Reason	Entry	Exit	Duration	Ethnic Origin	Correctional Facility
0	Alleged or Breached Rule	18 - OCT - 22	24 - OCT - 22	6	CAU	southwest_ns_correctional_facility
0	Covid - 19	24 - JAN - 21	25 - JAN - 21	1	UNK	southwest_ns_correctional_facility
0	Covid - 19	03 - FEB - 21	03 - FEB - 21	0	CAU	southwest_ns_correctional_facility
0	Covid - 19	11 - FEB - 21	12 - FEB - 21	1	CAU	southwest_ns_correctional_facility
0	Covid - 19	12 - FEB - 21	15 - FEB - 21	3	CAU	southwest_ns_correctional_facility
0	Covid - 19	12 - FEB - 21	13 - FEB - 21	1	CAU	southwest_ns_correctional_facility
0	Covid - 19	15 - FEB - 21	16 - FEB - 21	1	CAU	southwest_ns_correctional_facility
0	Covid - 19	20 - FEB - 21	22 - FEB - 21	2	CAU	southwest_ns_correctional_facility
0	Covid - 19	23 - FEB - 21	24 - FEB - 21	1	UNK	southwest_ns_correctional_facility
0	Covid - 19	07 - MAR - 21	08 - MAR - 21	1	CAU	southwest_ns_correctional_facility
0	Covid - 19	15 - MAR - 21	15 - MAR - 21	0	CAU	southwest_ns_correctional_facility
0	Covid - 19	25 - MAR - 21	26 - MAR - 21	1	CAU	southwest_ns_correctional_facility
0	Covid - 19	29 - MAR - 21	29 - MAR - 21	0	IND	southwest_ns_correctional_facility
0	Covid - 19	08 - APR - 21	08 - APR - 21	0	CAU	southwest_ns_correctional_facility
0	Covid - 19	17 - APR - 21	20 - APR - 21	3	CAU	southwest_ns_correctional_facility
0	Covid - 19	19 - APR - 21	20 - APR - 21	1	CAU	southwest_ns_correctional_facility
1	Covid - 19	28 - APR - 21	28 - APR - 21	0	CAU	southwest_ns_correctional_facility
1	Covid - 19	08 - MAY - 21	10 - MAY - 21	2	CAU	southwest_ns_correctional_facility
1	Covid - 19	12 - MAY - 21	12 - MAY - 21	0	CAU	southwest_ns_correctional_facility
1	Covid - 19	21 - MAY - 21	22 - MAY - 21	1	CAU	southwest_ns_correctional_facility
1	Covid - 19	23 - MAY - 21	24 - MAY - 21	1	CAU	southwest_ns_correctional_facility
1	Covid - 19	30 - MAY - 21	01 - JUN - 21	2	CAU	southwest_ns_correctional_facility
1	Covid - 19	01 - JUN - 21	02 - JUN - 21	1	CAU	southwest_ns_correctional_facility
1	Covid - 19	10 - JUN - 21	10 - JUN - 21	0	IND	southwest_ns_correctional_facility
1	Covid - 19	15 - JUN - 21	16 - JUN - 21	1	CAU	southwest_ns_correctional_facility
1	Covid - 19	20 - JUN - 21	21 - JUN - 21	1	CAU	southwest_ns_correctional_facility
1	Covid - 19	24 - JUN - 21	24 - JUN - 21	0	CAU	southwest_ns_correctional_facility
1	Covid - 19	27 - JUN - 21	29 - JUN - 21	2	IND	southwest_ns_correctional_facility
