Page	Confinement Reason	Entry	Exit	Duration	Ethnic Origin	Correctional Facility
0	Alleged or Breached Rule	2020-12-31	2021-01-01	1	CAU	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2020-12-31	2021-01-05	5	IND	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-01-02	2021-01-05	3	CAU	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-01-04	2021-01-05	1	CAU	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-01-05	2021-01-12	7	CAU	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-01-06	2021-01-07	1	CAU	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-01-07	2021-01-13	6	CAU	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-01-09	2021-01-13	4	IND	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-01-12	2021-01-13	1	CAU	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-01-13	2021-01-14	1	IND	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-01-14	2021-01-16	2	CAU	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-01-16	2021-01-18	2	IND	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-01-20	2021-01-21	1	CAU	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-01-22	2021-01-23	1	CAU	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-01-26	2021-01-29	3	CAU	Cape Breton Correctional Facility
0	Alleged or Breached Rule	2021-02-03	2021-02-04	1	CAU	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-02-05	2021-02-08	3	CAU	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-02-24	2021-02-26	2	CAU	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-02-24	2021-02-25	1	CAU	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-02-25	2021-03-03	6	CAU	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-02-25	2021-02-26	1	OTH	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-03-01	2021-03-05	4	OTH	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-03-03	2021-03-04	1	CAU	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-03-04	2021-03-05	1	IND	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-03-05	2021-03-07	2	CAU	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-03-08	2021-03-09	1	CAU	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-03-10	2021-03-13	3	IND	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-03-10	2021-03-10	0	IND	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-03-10	2021-03-12	2	CAU	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-03-12	2021-03-13	1	CAU	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-03-15	2021-03-16	1	CAU	Cape Breton Correctional Facility
1	Alleged or Breached Rule	2021-03-21	2021-03-22	1	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-03-22	2021-03-26	4	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-03-26	2021-03-28	2	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-04-02	2021-04-04	2	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-04-07	2021-04-10	3	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-04-07	2021-04-08	1	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-04-07	2021-04-08	1	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-04-07	2021-04-10	3	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-04-09	2021-04-10	1	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-04-10	2021-04-11	1	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-04-13	2021-04-16	3	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-04-20	2021-04-23	3	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-04-23	2021-04-25	2	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-05-16	2021-05-17	1	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-05-19	2021-05-24	5	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-05-20	2021-05-21	1	CAU	Cape Breton Correctional Facility
2	Alleged or Breached Rule	2021-05-20	2021-05-23	3	CAU	Cape Breton Correctional Facility
3	Alleged or Breached Rule	2021-06-05	2021-06-10	5	IND	Cape Breton Correctional Facility
3	Alleged or Breached Rule	2021-06-15	2021-06-16	1	CAU	Cape Breton Correctional Facility
3	Alleged or Breached Rule	2021-06-16	2021-06-18	2	CAU	Cape Breton Correctional Facility
3	Alleged or Breached Rule	2021-06-19	2021-06-21	2	CAU	Cape Breton Correctional Facility
3	Alleged or Breached Rule	2021-06-27	2021-06-30	3	CAU	Cape Breton Correctional Facility
3	Alleged or Breached Rule	2021-07-08	2021-07-10	2	CAU	Cape Breton Correctional Facility
3	Alleged or Breached Rule	2021-07-10	2021-07-14	4	CAU	Cape Breton Correctional Facility
3	Alleged or Breached Rule	2021-07-14	2021-07-15	1	IND	Cape Breton Correctional Facility
3	Alleged or Breached Rule	2021-07-15	2021-07-16	1	IND	Cape Breton Correctional Facility
3	Alleged or Breached Rule	2021-07-22	2021-07-23	1	CAU	Cape Breton Correctional Facility
3	Alleged or Breached Rule	2021-07-24	2021-07-25	1	CAU	Cape Breton Correctional Facility
3	Alleged or Breached Rule	2021-08-08	2021-08-09	1	CAU	Cape Breton Correctional Facility
