Page	Confinement Reason	Entry	Exit	Duration	Ethnic Origin	Correctional Facility	Duration_calc
0	Alleged or Breached Rule	2020-12-31	2021-02-19	50	CAU	Central NS Correctional Facility	50
0	Alleged or Breached Rule	2020-12-31	2021-01-05	5	CAU	Central NS Correctional Facility	5
0	Alleged or Breached Rule	2021-01-01	2021-01-05	4	OTH	Central NS Correctional Facility	4
0	Alleged or Breached Rule	2021-01-01	2021-01-05	4	IND	Central NS Correctional Facility	4
0	Alleged or Breached Rule	2021-01-02	2021-01-05	3	CAU	Central NS Correctional Facility	3
0	Alleged or Breached Rule	2021-01-03	2021-01-04	1	CAU	Central NS Correctional Facility	1
0	Alleged or Breached Rule	2021-01-04	2021-01-08	4	CAU	Central NS Correctional Facility	4
0	Alleged or Breached Rule	2021-01-04	2021-01-07	3	IND	Central NS Correctional Facility	3
0	Alleged or Breached Rule	2021-01-05	2021-01-07	2	IND	Central NS Correctional Facility	2
0	Alleged or Breached Rule	2021-01-05	2021-01-07	2	UNK	Central NS Correctional Facility	2
0	Alleged or Breached Rule	2021-01-05	2021-01-07	2	CAU	Central NS Correctional Facility	2
0	Alleged or Breached Rule	2021-01-06	2021-01-09	3	BLA	Central NS Correctional Facility	3
0	Alleged or Breached Rule	2021-01-07	2021-01-10	3	BLA	Central NS Correctional Facility	3
0	Alleged or Breached Rule	2021-01-07	2021-01-08	1	CAU	Central NS Correctional Facility	1
0	Alleged or Breached Rule	2021-01-07	2021-01-12	5	CAU	Central NS Correctional Facility	5
0	Alleged or Breached Rule	2021-01-07	2021-01-11	4	CAU	Central NS Correctional Facility	4
1	Alleged or Breached Rule	2021-01-07	2021-01-09	2	CAU	Central NS Correctional Facility	2
1	Alleged or Breached Rule	2021-01-08	2021-01-09	1	CAU	Central NS Correctional Facility	1
1	Alleged or Breached Rule	2021-01-08	2021-01-11	3	BLA	Central NS Correctional Facility	3
1	Alleged or Breached Rule	2021-01-08	2021-01-11	3	CAU	Central NS Correctional Facility	3
1	Alleged or Breached Rule	2021-01-10	2021-01-14	4	CAU	Central NS Correctional Facility	4
1	Alleged or Breached Rule	2021-01-11	2021-01-12	1	CAU	Central NS Correctional Facility	1
1	Alleged or Breached Rule	2021-01-11	2021-01-14	3	OTH	Central NS Correctional Facility	3
1	Alleged or Breached Rule	2021-01-11	2021-01-14	3	CAU	Central NS Correctional Facility	3
1	Alleged or Breached Rule	2021-01-11	2021-01-12	1	UNK	Central NS Correctional Facility	1
1	Alleged or Breached Rule	2021-01-11	2021-01-22	11	BLA	Central NS Correctional Facility	11
1	Alleged or Breached Rule	2021-01-12	2021-01-26	14	CAU	Central NS Correctional Facility	14
1	Alleged or Breached Rule	2021-01-12	2021-03-02	49	IND	Central NS Correctional Facility	49
1	Alleged or Breached Rule	2021-01-14	2021-01-15	1	BLA	Central NS Correctional Facility	1
1	Alleged or Breached Rule	2021-01-15	2021-01-20	5	OTH	Central NS Correctional Facility	5
1	Alleged or Breached Rule	2021-01-15	2021-01-15	0	CAU	Central NS Correctional Facility	0
1	Alleged or Breached Rule	2021-01-15	2021-01-17	2	IND	Central NS Correctional Facility	2
2	Alleged or Breached Rule	2021-01-15	2021-01-19	4	BLA	Central NS Correctional Facility	4
2	Alleged or Breached Rule	2021-01-16	2021-01-20	4	UNK	Central NS Correctional Facility	4
2	Alleged or Breached Rule	2021-01-16	2021-01-19	3	CAU	Central NS Correctional Facility	3
2	Alleged or Breached Rule	2021-01-16	2021-01-19	3	CAU	Central NS Correctional Facility	3
2	Alleged or Breached Rule	2021-01-16	2021-01-19	3	CAU	Central NS Correctional Facility	3
2	Alleged or Breached Rule	2021-01-16	2021-01-18	2	CAU	Central NS Correctional Facility	2
2	Alleged or Breached Rule	2021-01-16	2021-01-18	2	CAU	Central NS Correctional Facility	2
2	Alleged or Breached Rule	2021-01-17	2021-01-21	4	IND	Central NS Correctional Facility	4
2	Alleged or Breached Rule	2021-01-18	2021-01-20	2	CAU	Central NS Correctional Facility	2
2	Alleged or Breached Rule	2021-01-18	2021-01-20	2	CAU	Central NS Correctional Facility	2
2	Alleged or Breached Rule	2021-01-18	2021-02-02	15	BLA	Central NS Correctional Facility	15
2	Alleged or Breached Rule	2021-01-19	2021-02-19	31	ARAB	Central NS Correctional Facility	31
2	Alleged or Breached Rule	2021-01-19	2021-01-24	5	CAU	Central NS Correctional Facility	5
2	Alleged or Breached Rule	2021-01-20	2021-01-23	3	CAU	Central NS Correctional Facility	3
2	Alleged or Breached Rule	2021-01-20	2021-01-23	3	CAU	Central NS Correctional Facility	3
2	Alleged or Breached Rule	2021-01-21	2021-01-22	1	CAU	Central NS Correctional Facility	1
3	Alleged or Breached Rule	2021-01-21	2021-01-22	1	OTH	Central NS Correctional Facility	1
3	Alleged or Breached Rule	2021-01-23	2021-01-26	3	CAU	Central NS Correctional Facility	3
3	Alleged or Breached Rule	2021-01-23	2021-01-25	2	IND	Central NS Correctional Facility	2
3	Alleged or Breached Rule	2021-01-23	2021-01-23	0	CAU	Central NS Correctional Facility	0
3	Alleged or Breached Rule	2021-01-25	2021-01-26	1	BLA	Central NS Correctional Facility	1
3	Alleged or Breached Rule	2021-01-25	2021-01-28	3	OTH	Central NS Correctional Facility	3
3	Alleged or Breached Rule	2021-01-25	2021-01-26	1	CAU	Central NS Correctional Facility	1
3	Alleged or Breached Rule	2021-01-25	2021-02-01	7	UNK	Central NS Correctional Facility	7
