Page	Confinement Reason	Entry	Exit	Duration	Ethnic Origin	Correctional Facility	Duration_calc
0	Alleged or Breached Rule	2020-12-31	2021-01-04	4	CAU	Northeast NS Correctional Facility	4
0	Alleged or Breached Rule	2021-01-03	2021-01-07	4	CAU	Northeast NS Correctional Facility	4
0	Alleged or Breached Rule	2021-01-05	2021-01-07	2	CAU	Northeast NS Correctional Facility	2
0	Alleged or Breached Rule	2021-01-05	2021-01-07	2	CAU	Northeast NS Correctional Facility	2
0	Alleged or Breached Rule	2021-01-07	2021-01-10	3	CAU	Northeast NS Correctional Facility	3
0	Alleged or Breached Rule	2021-01-08	2021-01-13	5	OTH	Northeast NS Correctional Facility	5
0	Alleged or Breached Rule	2021-01-14	2021-01-14	0	CAU	Northeast NS Correctional Facility	0
0	Alleged or Breached Rule	2021-01-14	2021-01-15	1	CAU	Northeast NS Correctional Facility	1
0	Alleged or Breached Rule	2021-01-23	2021-01-25	2	CAU	Northeast NS Correctional Facility	2
0	Alleged or Breached Rule	2021-01-26	2021-01-30	4	OTH	Northeast NS Correctional Facility	4
0	Alleged or Breached Rule	2021-01-26	2021-01-27	1	BLA	Northeast NS Correctional Facility	1
0	Alleged or Breached Rule	2021-01-30	2021-02-02	3	CAU	Northeast NS Correctional Facility	3
0	Alleged or Breached Rule	2021-02-01	2021-02-02	1	CAU	Northeast NS Correctional Facility	1
0	Alleged or Breached Rule	2021-02-06	2021-02-10	4	OTH	Northeast NS Correctional Facility	4
0	Alleged or Breached Rule	2021-02-07	2021-02-09	2	CAU	Northeast NS Correctional Facility	2
0	Alleged or Breached Rule	2021-02-10	2021-02-13	3	CAU	Northeast NS Correctional Facility	3
1	Alleged or Breached Rule	2021-02-10	2021-02-11	1	CAU	Northeast NS Correctional Facility	1
1	Alleged or Breached Rule	2021-02-12	2021-02-16	4	CAU	Northeast NS Correctional Facility	4
1	Alleged or Breached Rule	2021-02-18	2021-02-22	4	CAU	Northeast NS Correctional Facility	4
1	Alleged or Breached Rule	2021-02-21	2021-02-23	2	CAU	Northeast NS Correctional Facility	2
1	Alleged or Breached Rule	2021-02-21	2021-02-26	5	CAU	Northeast NS Correctional Facility	5
1	Alleged or Breached Rule	2021-03-04	2021-03-08	4	CAU	Northeast NS Correctional Facility	4
1	Alleged or Breached Rule	2021-03-06	2021-03-09	3	CAU	Northeast NS Correctional Facility	3
1	Alleged or Breached Rule	2021-03-10	2021-03-13	3	CAU	Northeast NS Correctional Facility	3
1	Alleged or Breached Rule	2021-03-11	2021-03-14	3	IND	Northeast NS Correctional Facility	3
1	Alleged or Breached Rule	2021-03-12	2021-03-14	2	CAU	Northeast NS Correctional Facility	2
1	Alleged or Breached Rule	2021-03-14	2021-03-15	1	CAU	Northeast NS Correctional Facility	1
1	Alleged or Breached Rule	2021-03-16	2021-03-18	2	IND	Northeast NS Correctional Facility	2
1	Alleged or Breached Rule	2021-03-17	2021-03-20	3	CAU	Northeast NS Correctional Facility	3
1	Alleged or Breached Rule	2021-03-18	2021-03-23	5	CAU	Northeast NS Correctional Facility	5
1	Alleged or Breached Rule	2021-03-18	2021-03-19	1	IND	Northeast NS Correctional Facility	1
1	Alleged or Breached Rule	2021-03-22	2021-03-25	3	IND	Northeast NS Correctional Facility	3
2	Alleged or Breached Rule	2021-03-23	2021-03-28	5	CAU	Northeast NS Correctional Facility	5
2	Alleged or Breached Rule	2021-03-25	2021-03-30	5	CAU	Northeast NS Correctional Facility	5
2	Alleged or Breached Rule	2021-03-25	2021-03-26	1	UNK	Northeast NS Correctional Facility	1
2	Alleged or Breached Rule	2021-03-30	2021-03-31	1	CAU	Northeast NS Correctional Facility	1
2	Alleged or Breached Rule	2021-04-07	2021-04-07	0	CAU	Northeast NS Correctional Facility	0
2	Alleged or Breached Rule	2021-04-07	2021-04-12	5	CAU	Northeast NS Correctional Facility	5
2	Alleged or Breached Rule	2021-04-07	2021-04-07	0	CAU	Northeast NS Correctional Facility	0
2	Alleged or Breached Rule	2021-04-07	2021-04-08	1	CAU	Northeast NS Correctional Facility	1
2	Alleged or Breached Rule	2021-04-08	2021-04-11	3	CAU	Northeast NS Correctional Facility	3
2	Alleged or Breached Rule	2021-04-08	2021-04-12	4	CAU	Northeast NS Correctional Facility	4
2	Alleged or Breached Rule	2021-04-09	2021-04-10	1	CAU	Northeast NS Correctional Facility	1
2	Alleged or Breached Rule	2021-04-10	2021-04-14	4	CAU	Northeast NS Correctional Facility	4
2	Alleged or Breached Rule	2021-04-11	2021-04-18	7	CAU	Northeast NS Correctional Facility	7
2	Alleged or Breached Rule	2021-04-13	2021-04-16	3	CAU	Northeast NS Correctional Facility	3
2	Alleged or Breached Rule	2021-04-13	2021-04-16	3	UNK	Northeast NS Correctional Facility	3
2	Alleged or Breached Rule	2021-04-13	2021-04-13	0	CAU	Northeast NS Correctional Facility	0
3	Alleged or Breached Rule	2021-04-14	2021-04-17	3	BLA	Northeast NS Correctional Facility	3
3	Alleged or Breached Rule	2021-04-14	2021-04-19	5	CAU	Northeast NS Correctional Facility	5
3	Alleged or Breached Rule	2021-04-15	2021-04-20	5	CAU	Northeast NS Correctional Facility	5
3	Alleged or Breached Rule	2021-04-15	2021-04-16	1	ANS	Northeast NS Correctional Facility	1
3	Alleged or Breached Rule	2021-04-20	2021-04-21	1	CAU	Northeast NS Correctional Facility	1
3	Alleged or Breached Rule	2021-04-21	2021-04-23	2	BLA	Northeast NS Correctional Facility	2
3	Alleged or Breached Rule	2021-04-24	2021-04-27	3	CAU	Northeast NS Correctional Facility	3
3	Alleged or Breached Rule	2021-04-26	2021-04-28	2	BLA	Northeast NS Correctional Facility	2
3	Alleged or Breached Rule	2021-04-26	2021-04-28	2	IND	Northeast NS Correctional Facility	2
3	Alleged or Breached Rule	2021-04-26	2021-04-28	2	CAU	Northeast NS Correctional Facility	2
3	Alleged or Breached Rule	2021-04-26	2021-04-28	2	CAU	Northeast NS Correctional Facility	2
3	Alleged or Breached Rule	2021-04-28	2021-05-01	3	CAU	Northeast NS Correctional Facility	3
3	Alleged or Breached Rule	2021-04-28	2021-05-01	3	BLA	Northeast NS Correctional Facility	3
3	Alleged or Breached Rule	2021-04-28	2021-04-30	2	ANS	Northeast NS Correctional Facility	2
3	Alleged or Breached Rule	2021-05-06	2021-05-10	4	CAU	Northeast NS Correctional Facility	4
3	Alleged or Breached Rule	2021-05-07	2021-05-11	4	BLA	Northeast NS Correctional Facility	4
4	Alleged or Breached Rule	2021-05-07	2021-05-07	0	CAU	Northeast NS Correctional Facility	0
4	Alleged or Breached Rule	2021-05-14	2021-05-15	1	CAU	Northeast NS Correctional Facility	1
4	Alleged or Breached Rule	2021-05-14	2021-05-15	1	CAU	Northeast NS Correctional Facility	1
4	Alleged or Breached Rule	2021-05-16	2021-05-18	2	CAU	Northeast NS Correctional Facility	2
4	Alleged or Breached Rule	2021-05-18	2021-05-18	0	CAU	Northeast NS Correctional Facility	0
4	Alleged or Breached Rule	2021-05-19	2021-05-22	3	IND	Northeast NS Correctional Facility	3
4	Alleged or Breached Rule	2021-05-20	2021-05-21	1	CAU	Northeast NS Correctional Facility	1
4	Alleged or Breached Rule	2021-05-22	2021-05-25	3	IND	Northeast NS Correctional Facility	3
4	Alleged or Breached Rule	2021-05-22	2021-05-24	2	UNK	Northeast NS Correctional Facility	2
4	Alleged or Breached Rule	2021-05-24	2021-05-25	1	CAU	Northeast NS Correctional Facility	1
4	Alleged or Breached Rule	2021-05-25	2021-05-28	3	BLA	Northeast NS Correctional Facility	3
4	Alleged or Breached Rule	2021-06-03	2021-06-05	2	CAU	Northeast NS Correctional Facility	2
